transformer_id,h2,ch4,c2h4,c2h6,c2h2,co,co2,o2,n2,original_fault,iec_fault,iec_code,ratio_c2h2_c2h4,ratio_ch4_h2,ratio_c2h4_c2h6,is_abnormal
81,70,158,24,86,0,,,,,NA,低温过热150~300℃,0-2-0,0.0,2.2571,0.2791,1
82,0,19,0,19,0,,,,,NA,Normal,,,,0.0,0
83,0,0,0,21,0,,,,,NA,Normal,,,,0.0,0
84,0,230,49,0,0,,,,,NA,异常-未明类,,0.0,,,1
85,0,159,67,154,0,,,,,NA,异常-未明类,,0.0,,0.4351,1
86,0,343,457,239,0,,,,,NA,异常-未明类,,0.0,,1.9121,1
87,0,414,508,276,0,,,,,NA,异常-未明类,,0.0,,1.8406,1
88,336,1568,1728,579,2,,,,,NA,中温过热300~700℃,0-2-1,0.0012,4.6667,2.9845,1
89,582,2398,2960,753,4,,,,,NA,高温过热>700℃,0-2-2,0.0014,4.1203,3.9309,1
90,116,382,367,185,4,354,2102,25,49,NA,中温过热300~700℃,0-2-1,0.0109,3.2931,1.9838,1
91,1227,2445,2667,993,8,345,2559,150,50,NA,中温过热300~700℃,0-2-1,0.003,1.9927,2.6858,1
92,2031,149,3,20,0.001,,,,,NA,局部放电,0-1-0,0.0003,0.0734,0.15,1
93,56,61,32,75,31,,,,,NA,电弧放电兼过热,1-2-0,0.9688,1.0893,0.4267,1
94,57,24,27,2,30,,,,,NA,电弧放电,1-0-2,1.1111,0.4211,13.5,1
95,12,18,4,4,0.001,,,,,NA,Normal,0-2-1,0.0003,1.5,1.0,0
96,19,47,62,27,0.001,,,,,NA,Normal,0-2-1,0.0,2.4737,2.2963,0
97,56,286,28,96,7,,,,,NA,电弧放电兼过热,1-2-0,0.25,5.1071,0.2917,1
98,100,120,50,65,1,350,2500,,,NA,低温过热150~300℃,0-2-0,0.02,1.2,0.7692,1
99,5.63e-21,0.1683,0.954,0.0398,,1.02e-34,,,,NA,Normal,,,,,0
100,169,569,549,252,0.8,1278,252,,,NA,中温过热300~700℃,0-2-1,0.0015,3.3669,2.1786,1
101,197,57,8,159,0,316,990,,,NA,低温过热<150℃,0-0-0,0.0,0.2893,0.0503,1
102,3.37,1.33,3.98,1.99,1.22,14.21,,,,NA,Normal,1-0-1,0.3065,0.3947,2.0,0
103,4.475,4.215,4.945,5.87,5.385,28.47,,,,NA,电弧放电,1-0-0,1.089,0.9419,0.8424,1
104,14.125,10.81,11.48,13.725,11.28,69.985,,,,NA,电弧放电,1-0-0,0.9826,0.7653,0.8364,1
105,114.37,63.39,59.29,49.82,58.72,434.7,,,,NA,电弧放电,1-0-1,0.9904,0.5543,1.1901,1
106,480.63,530.61,578.1,576.51,592.2,1835.98,,,,NA,电弧放电兼过热,1-2-1,1.0244,1.104,1.0028,1
107,140,40,15,70,2,600,3400,,,NA,Normal,1-0-0,0.1333,0.2857,0.2143,0
108,0,0,0,0,0,4.3,64.1,,,NA,Normal,,,,,0
